name,order_ID,service_time,order_wt,order_type,delivery_start,delivery_end,address,city,county,lat,lng
NV Mart,92552,49,2158.43,Restaurant,2022-03-17T12:14:00,2022-03-17T17:35:00,"1005 S Anglin St, Cleburne, Texas, 76031",Cleburne,JOHNSON COUNTY,32.3397628275,-97.3827102023
NV Mart,30336,74,5070.56,Retailer,2022-03-17T11:25:00,2022-03-17T17:22:00,"833 W Tarrant Rd, Grand Prairie, Texas, 75050",Grand Prairie,DALLAS COUNTY,32.7589325433,-97.0171370157
NV Mart,68387,57,9621.17,Retailer,2022-03-17T10:55:00,2022-03-17T17:32:00,"701 Tierra Vista Way, Fort Worth, Texas, 76131",Fort Worth,DENTON COUNTY,32.9177072891,-97.3734708304
NV Mart,39643,60,7366.32,Restaurant,2022-03-17T12:50:00,2022-03-17T17:03:00,"7331 Holiday Ln, North Richland Hills, Texas, 76182",North Richland Hills,TARRANT COUNTY,32.8809419986,-97.2213275531
NV Mart,29265,55,2797.17,Retailer,2022-03-17T13:16:00,2022-03-17T17:16:00,"6401 Parkwood Blvd, Frisco, Texas, 75034",Frisco,COLLIN COUNTY,33.1325085615,-96.8207752597
NV Mart,80729,35,5979.04,Restaurant,2022-03-17T10:32:00,2022-03-17T17:52:00,"5001 Hadley St, Haltom City, Texas, 76117",Haltom City,TARRANT COUNTY,32.8056013693,-97.275063226
NV Mart,33819,37,721.04,Business,2022-03-17T12:26:00,2022-03-17T17:52:00,"200 S 5th St, Celeste, Texas, 75423",Celeste,HUNT COUNTY,33.292320484,-96.1987270677
NV Mart,38140,41,2714.96,Retailer,2022-03-17T13:13:00,2022-03-17T17:57:00,"1900 Walker Ln, Little Elm, Texas, 75068",Little Elm,DENTON COUNTY,33.1798474971,-96.9069220298
NV Mart,28424,66,7594.35,Business,2022-03-17T10:31:00,2022-03-17T16:20:00,"9200 Poynter St, Fort Worth, Texas, 76123",Fort Worth,TARRANT COUNTY,32.6079307136,-97.364083518
NV Mart,94347,26,8551.74,Retailer,2022-03-17T10:03:00,2022-03-17T17:58:00,"3800 Anglin Dr, Fort Worth, Texas, 76119",Fort Worth,TARRANT COUNTY,32.707505586,-97.2520699432
NV Mart,81785,68,6020.23,Retailer,2022-03-17T09:42:00,2022-03-17T16:13:00,"6000 Keeneland Pkwy, Dallas, Texas, 75211",Dallas,DALLAS COUNTY,32.7363625088,-96.9252509889
NV Mart,78714,46,8740.37,Business,2022-03-17T13:23:00,2022-03-17T17:49:00,"5314 Boaz St, Dallas, Texas, 75209",Dallas,DALLAS COUNTY,32.8492695106,-96.8201671526
NV Mart,82282,44,6175.5,Restaurant,2022-03-17T09:57:00,2022-03-17T17:42:00,"5200 Broadmoor Dr, Garland, Texas, 75043",Garland,DALLAS COUNTY,32.8547307544,-96.6397281852
NV Mart,13582,57,11532.6,Business,2022-03-17T12:48:00,2022-03-17T16:19:00,"5606 Wayside Dr, Dallas, Texas, 75235",Dallas,DALLAS COUNTY,32.8147797812,-96.851904307
NV Mart,87644,35,4587.71,Business,2022-03-17T11:41:00,2022-03-17T17:04:00,"801 Brown St, Waxahachie, Texas, 75165",Waxahachie,ELLIS COUNTY,32.4022135383,-96.8383539546
NV Mart,45290,39,7608.6,Business,2022-03-17T09:55:00,2022-03-17T17:44:00,"100 Miss May Dr, Rockwall, Texas, 75087",Rockwall,ROCKWALL COUNTY,32.9551906473,-96.3857825482
NV Mart,26609,56,10418.52,Restaurant,2022-03-17T09:37:00,2022-03-17T17:44:00,"7502 Fair Oaks Ave, Dallas, Texas, 75231",Dallas,DALLAS COUNTY,32.8772112135,-96.7527599711
NV Mart,61874,69,8012.78,Retailer,2022-03-17T12:46:00,2022-03-17T16:04:00,"3301 Yucca Ave, Fort Worth, Texas, 76111",Fort Worth,TARRANT COUNTY,32.7809575027,-97.299255029
NV Mart,90518,56,10550.02,Retailer,2022-03-17T09:15:00,2022-03-17T17:52:00,"12532 Nuestra Dr, Dallas, Texas, 75230",Dallas,DALLAS COUNTY,32.9197728834,-96.8113034576
NV Mart,25930,38,8526.55,Restaurant,2022-03-17T12:35:00,2022-03-17T16:23:00,"426 E Freeman St, Duncanville, Texas, 75116",Duncanville,DALLAS COUNTY,32.6508927397,-96.9026177957
NV Mart,42786,48,3599.16,Retailer,2022-03-17T11:30:00,2022-03-17T17:28:00,"9501 N Highway 171, Godley, Texas, 76044",Godley,JOHNSON COUNTY,32.4569792591,-97.5452480454
NV Mart,51538,53,6015.78,Business,2022-03-17T09:37:00,2022-03-17T16:28:00,"8928 Palisade Dr, Dallas, Texas, 75217",Dallas,DALLAS COUNTY,32.7468548914,-96.6677260663
NV Mart,38700,48,4175.89,Business,2022-03-17T13:30:00,2022-03-17T17:28:00,"3300 Ridge Ranch Rd, Mesquite, Texas, 75181",Mesquite,DALLAS COUNTY,32.7226913733,-96.5525401088
NV Mart,16471,50,3817.45,Restaurant,2022-03-17T13:57:00,2022-03-17T17:16:00,"2424 Larchmont Dr, Mesquite, Texas, 75150",Mesquite,DALLAS COUNTY,32.7998408409,-96.6377725809
NV Mart,34593,41,6622.89,Business,2022-03-17T13:42:00,2022-03-17T17:54:00,"333 Church St, Midlothian, Texas, 76065",Midlothian,ELLIS COUNTY,32.5018367742,-96.9897618876
NV Mart,56685,47,2094.06,Business,2022-03-17T11:55:00,2022-03-17T16:14:00,"1520 Cumberland Dr, Garland, Texas, 75040",Garland,DALLAS COUNTY,32.8986944924,-96.6263318698
NV Mart,25588,53,1187.01,Retailer,2022-03-17T13:48:00,2022-03-17T17:44:00,"5200 Kelly Elliott Rd, Arlington, Texas, 76017",Arlington,TARRANT COUNTY,32.6633410028,-97.1755274931
NV Mart,22502,41,9044.67,Restaurant,2022-03-17T10:52:00,2022-03-17T16:33:00,"606 E Royal Ln, Irving, Texas, 75039",Irving,DALLAS COUNTY,32.8955725268,-96.933179012
NV Mart,27771,36,8726.69,Business,2022-03-17T11:02:00,2022-03-17T16:29:00,"2444 Telegraph Ave, Dallas, Texas, 75228",Dallas,DALLAS COUNTY,32.801602214,-96.7069610007
NV Mart,42845,57,1066.19,Retailer,2022-03-17T12:31:00,2022-03-17T16:04:00,"2600 Hart Rd, Little Elm, Texas, 75068",Little Elm,DENTON COUNTY,33.1752015758,-96.9222938534
NV Mart,13934,32,8387.3,Business,2022-03-17T12:50:00,2022-03-17T17:41:00,"811 S Bois D Arc St, Forney, Texas, 75126",Forney,KAUFMAN COUNTY,32.7372102964,-96.4810259624
NV Mart,80175,33,11330.77,Business,2022-03-17T13:43:00,2022-03-17T16:14:00,"1208 E Pleasant Run Rd, Cedar Hill, Texas, 75104",Cedar Hill,DALLAS COUNTY,32.6024320175,-96.915623032
NV Mart,86875,55,637.36,Retailer,2022-03-17T12:02:00,2022-03-17T17:40:00,"2351 Country Club Dr, Mansfield, Texas, 76063",Mansfield,DALLAS COUNTY,32.5978129602,-97.1008552132
NV Mart,82144,67,5080.05,Restaurant,2022-03-17T09:08:00,2022-03-17T16:39:00,"800 Eagle Dr, Argyle, Texas, 76226",Argyle,DENTON COUNTY,33.1251845384,-97.1869364368
NV Mart,61309,72,2236.78,Restaurant,2022-03-17T12:58:00,2022-03-17T16:10:00,"200 E Wintergreen Rd, Lancaster, Texas, 75134",Lancaster,DALLAS COUNTY,32.615093008,-96.7619249955
NV Mart,40438,60,7501.52,Business,2022-03-17T11:18:00,2022-03-17T16:49:00,"900 W Fogg St, Fort Worth, Texas, 76110",Fort Worth,TARRANT COUNTY,32.6910074859,-97.3349399759
NV Mart,83990,36,4590.03,Restaurant,2022-03-17T10:05:00,2022-03-17T17:14:00,"2416 Keller Springs Rd, Carrollton, Texas, 75006",Carrollton,DALLAS COUNTY,32.9710581447,-96.8753583808
NV Mart,65244,33,10659.08,Business,2022-03-17T11:22:00,2022-03-17T16:45:00,"16301 Elementary Dr, Justin, Texas, 76247",Justin,DENTON COUNTY,33.0396444923,-97.3235892026
NV Mart,80288,59,7872.26,Business,2022-03-17T11:50:00,2022-03-17T17:58:00,"302 N Town East Blvd, Sunnyvale, Texas, 75182",Sunnyvale,DALLAS COUNTY,32.8117860168,-96.5984909593
NV Mart,45868,22,753.24,Restaurant,2022-03-17T13:30:00,2022-03-17T17:20:00,"6951 Berkshire Rd, Mckinney, Texas, 75072",Mckinney,COLLIN COUNTY,33.1780257743,-96.7071985438
NV Mart,85516,46,3518.48,Business,2022-03-17T11:57:00,2022-03-17T16:59:00,"19119 E US Highway 175, Mabank, Texas, 75147",Mabank,KAUFMAN COUNTY,32.3756812314,-96.1113850532
NV Mart,25519,50,11861.46,Restaurant,2022-03-17T09:32:00,2022-03-17T16:09:00,"1350 Eagle Dr, Fort Worth, Texas, 76111",Fort Worth,DENTON COUNTY,32.7816025119,-97.2953261802
NV Mart,15045,35,4387.76,Business,2022-03-17T13:33:00,2022-03-17T17:32:00,"2301 Heritage Trace Pkwy, Fort Worth, Texas, 76177",Fort Worth,DALLAS COUNTY,32.914737455,-97.3257949843
NV Mart,88362,46,9963.79,Business,2022-03-17T09:46:00,2022-03-17T16:33:00,"1605 Rand Rd, Kaufman, Texas, 75142",Kaufman,KAUFMAN COUNTY,32.57999119,-96.2964432111
NV Mart,51602,32,4158.17,Business,2022-03-17T11:40:00,2022-03-17T16:40:00,"6501 Royal Ln, Dallas, Texas, 75230",Dallas,DALLAS COUNTY,32.8948723026,-96.7919963304
NV Mart,36858,51,4180.45,Restaurant,2022-03-17T10:54:00,2022-03-17T16:34:00,"304 Lorine St, Keller, Texas, 76248",Keller,TARRANT COUNTY,32.937235921,-97.2491983444
NV Mart,18353,35,6293.8,Retailer,2022-03-17T13:42:00,2022-03-17T16:25:00,"2826 S 5th St, Garland, Texas, 75041",Garland,DALLAS COUNTY,32.8824104662,-96.63370082
NV Mart,12007,67,7058.61,Restaurant,2022-03-17T11:40:00,2022-03-17T16:55:00,"2504 Carver St, Greenville, Texas, 75401",Greenville,HUNT COUNTY,33.1397280205,-96.1333784816
NV Mart,84159,50,1759.24,Restaurant,2022-03-17T12:19:00,2022-03-17T16:46:00,"2201 Havenwood Dr, Arlington, Texas, 76018",Arlington,TARRANT COUNTY,32.6538407023,-97.0705409707
NV Mart,64866,71,2980.55,Restaurant,2022-03-17T09:52:00,2022-03-17T16:57:00,"1000 E Princeton Dr, Princeton, Texas, 75407",Princeton,COLLIN COUNTY,33.1730405535,-96.4859802539
NV Mart,67815,50,2183.1,Restaurant,2022-03-17T12:28:00,2022-03-17T16:21:00,"9720 Waterview Rd, Dallas, Texas, 75218",Dallas,DALLAS COUNTY,32.850119729,-96.7096434611
NV Mart,37766,65,3767.82,Business,2022-03-17T09:06:00,2022-03-17T17:39:00,"2727 Knoxville St, Dallas, Texas, 75211",Dallas,DALLAS COUNTY,32.7156299971,-96.9001583368
NV Mart,31077,38,9145.55,Business,2022-03-17T12:52:00,2022-03-17T16:13:00,"4100 Altamesa Blvd, Fort Worth, Texas, 76133",Fort Worth,TARRANT COUNTY,32.6512848086,-97.3815390828
NV Mart,53780,50,11953.75,Retailer,2022-03-17T09:53:00,2022-03-17T17:04:00,"3001 N Walnut Creek Dr, Mansfield, Texas, 76063",Mansfield,TARRANT COUNTY,32.6076553681,-97.1350631011
NV Mart,30414,40,3412.42,Restaurant,2022-03-17T10:50:00,2022-03-17T17:02:00,"10236 Summercreek Dr, Crowley, Texas, 76036",Crowley,TARRANT COUNTY,32.6011609857,-97.4090599722
NV Mart,91184,31,7906.13,Retailer,2022-03-17T09:13:00,2022-03-17T16:05:00,"2120 Keats Dr, Dallas, Texas, 75211",Dallas,DALLAS COUNTY,32.721925896,-96.8817931679
NV Mart,52798,72,8705.0,Business,2022-03-17T12:46:00,2022-03-17T17:19:00,"5301 Campus Dr, Fort Worth, Texas, 76119",Fort Worth,TARRANT COUNTY,32.6689670201,-97.2884410328
NV Mart,47097,21,2149.2,Restaurant,2022-03-17T12:10:00,2022-03-17T16:53:00,"622 Sunnyside Ave, Dallas, Texas, 75211",Dallas,DALLAS COUNTY,32.7390450112,-96.8885825094
NV Mart,92537,71,1220.11,Business,2022-03-17T09:43:00,2022-03-17T16:20:00,"6610 Lake June Rd, Dallas, Texas, 75217",Dallas,DALLAS COUNTY,32.7342525324,-96.7067239604
NV Mart,58145,42,4180.99,Retailer,2022-03-17T13:48:00,2022-03-17T17:59:00,"4100 Flory St, North Richland Hills, Texas, 76180",North Richland Hills,TARRANT COUNTY,32.8254611338,-97.2367468184
NV Mart,78023,35,4425.25,Retailer,2022-03-17T12:51:00,2022-03-17T16:57:00,"1216 E 8th St, Dallas, Texas, 75203",Dallas,DALLAS COUNTY,32.7512025008,-96.8058859821
NV Mart,18131,67,790.37,Retailer,2022-03-17T13:04:00,2022-03-17T17:44:00,"701 Waggoman Rd, Fort Worth, Texas, 76131",Fort Worth,TARRANT COUNTY,32.855386875,-97.3389995831
NV Mart,33862,52,8300.6,Retailer,2022-03-17T09:45:00,2022-03-17T16:05:00,"700 FM-2642, Royse City, Texas, 75189",Royse City,ROCKWALL COUNTY,32.9744465459,-96.2928806649
NV Mart,25389,70,1609.35,Retailer,2022-03-17T09:44:00,2022-03-17T16:26:00,"605 E 7th St, Prosper, Texas, 75078",Prosper,COLLIN COUNTY,33.2390979134,-96.7952825394
NV Mart,90813,63,6330.11,Business,2022-03-17T09:44:00,2022-03-17T16:00:00,"2301 E Park Row Dr, Arlington, Texas, 76010",Arlington,TARRANT COUNTY,32.7208574548,-97.0678430037
NV Mart,70456,68,11124.73,Restaurant,2022-03-17T10:10:00,2022-03-17T17:49:00,"500 Pleasant Ridge Dr, Mansfield, Texas, 76063",Mansfield,TARRANT COUNTY,32.5764455612,-97.1388073811
NV Mart,89302,62,5807.51,Restaurant,2022-03-17T13:02:00,2022-03-17T17:16:00,"2720 Cullen St, Fort Worth, Texas, 76107",Fort Worth,TARRANT COUNTY,32.7615521814,-97.3556686739
NV Mart,69908,29,11511.94,Restaurant,2022-03-17T12:50:00,2022-03-17T16:18:00,"4510 W Jefferson Blvd, Dallas, Texas, 75211",Dallas,DALLAS COUNTY,32.7367373056,-96.8951327991
NV Mart,19123,55,4876.15,Business,2022-03-17T13:26:00,2022-03-17T17:13:00,"105 Berry St, Sanger, Texas, 76266",Sanger,DENTON COUNTY,33.3616702135,-97.1832207391
NV Mart,54071,48,10922.7,Business,2022-03-17T12:37:00,2022-03-17T17:55:00,"7300 Bluebonnet Dr, Rowlett, Texas, 75089",Rowlett,DALLAS COUNTY,32.9251276541,-96.5741734507
NV Mart,21730,28,2798.57,Restaurant,2022-03-17T10:47:00,2022-03-17T17:15:00,"1651 S Valley Pkwy, Lewisville, Texas, 75067",Lewisville,DENTON COUNTY,33.0266299951,-97.0190824554
NV Mart,31465,36,2850.51,Business,2022-03-17T13:32:00,2022-03-17T17:33:00,"3400 E Parker Rd, Plano, Texas, 75074",Plano,COLLIN COUNTY,33.0442483784,-96.6598237756
NV Mart,29755,58,3135.85,Business,2022-03-17T13:50:00,2022-03-17T17:10:00,"3000 Martin Luther King Jr Blvd, Dallas, Texas, 75215",Dallas,DALLAS COUNTY,32.7717711463,-96.7653599832
NV Mart,91846,31,8766.28,Retailer,2022-03-17T13:14:00,2022-03-17T17:15:00,"3650 S Hardin Blvd, Mckinney, Texas, 75070",Mckinney,COLLIN COUNTY,33.1618469829,-96.6633575022
NV Mart,10970,48,10713.97,Restaurant,2022-03-17T13:51:00,2022-03-17T16:44:00,"100 W Mistletoe Dr, Kennedale, Texas, 76060",Kennedale,TARRANT COUNTY,32.6523974643,-97.2210500283
NV Mart,52840,43,8872.8,Retailer,2022-03-17T10:04:00,2022-03-17T16:16:00,"2335 N Josey Ln, Carrollton, Texas, 75006",Carrollton,DALLAS COUNTY,32.9794859807,-96.8902274579
NV Mart,27499,60,1408.41,Restaurant,2022-03-17T13:20:00,2022-03-17T17:27:00,"601 N FM 1138, Nevada, Texas, 75173",Nevada,COLLIN COUNTY,33.0618720004,-96.3652274554
NV Mart,22777,32,8096.19,Restaurant,2022-03-17T12:16:00,2022-03-17T17:13:00,"2080 Sunnybrook Dr, Forney, Texas, 75126",Forney,KAUFMAN COUNTY,32.6827345894,-96.4599872178
NV Mart,93467,56,11059.94,Retailer,2022-03-17T11:18:00,2022-03-17T16:29:00,"3722 Black Oak Dr, Dallas, Texas, 75241",Dallas,DALLAS COUNTY,32.6803262771,-96.7633719845
NV Mart,30494,61,2547.8,Retailer,2022-03-17T13:32:00,2022-03-17T16:13:00,"1050 Park Blvd, Wylie, Texas, 75098",Wylie,COLLIN COUNTY,33.0288992277,-96.5570163804
NV Mart,39561,69,9240.36,Retailer,2022-03-17T09:41:00,2022-03-17T16:26:00,"101 S Clark St, Rockwall, Texas, 75087",Rockwall,ROCKWALL COUNTY,32.931888673,-96.4544903657
NV Mart,95638,32,637.32,Retailer,2022-03-17T10:42:00,2022-03-17T17:02:00,"1501 E Pioneer Dr, Irving, Texas, 75061",Irving,DALLAS COUNTY,32.8175860005,-96.9279041965
NV Mart,21221,42,2869.58,Business,2022-03-17T11:57:00,2022-03-17T17:39:00,"1315 Comanche Dr, Allen, Texas, 75013",Allen,COLLIN COUNTY,33.1081370046,-96.7005550473
NV Mart,36559,46,11420.82,Restaurant,2022-03-17T11:43:00,2022-03-17T16:54:00,"1330 19th St, Plano, Texas, 75074",Plano,COLLIN COUNTY,33.025967699,-96.6954356323
NV Mart,68527,64,1417.97,Business,2022-03-17T12:59:00,2022-03-17T16:03:00,"8780 Bridge St, North Richland Hills, Texas, 76180",North Richland Hills,TARRANT COUNTY,32.8568825837,-97.1969656354
NV Mart,66485,67,11046.01,Retailer,2022-03-17T12:52:00,2022-03-17T16:28:00,"7095 W Wheatland Rd, Dallas, Texas, 75249",Dallas,DALLAS COUNTY,32.6472875209,-96.9444570304
NV Mart,84785,42,8330.06,Business,2022-03-17T11:41:00,2022-03-17T16:34:00,"2700 W 15th St, Plano, Texas, 75075",Plano,COLLIN COUNTY,33.0191821712,-96.7460991241
NV Mart,29284,26,10182.62,Business,2022-03-17T13:55:00,2022-03-17T17:18:00,"9229 Chiswell Rd, Dallas, Texas, 75238",Dallas,DALLAS COUNTY,32.8733524368,-96.7248028874
NV Mart,55201,56,2764.07,Retailer,2022-03-17T10:42:00,2022-03-17T17:24:00,"900 N O Connor Rd, Irving, Texas, 75061",Irving,DALLAS COUNTY,32.8248430103,-96.9511724435
NV Mart,33740,32,4873.47,Restaurant,2022-03-17T11:55:00,2022-03-17T17:37:00,"2617 N Henderson Ave, Dallas, Texas, 75206",Dallas,DALLAS COUNTY,32.817052199,-96.7810633112
NV Mart,64162,34,760.19,Business,2022-03-17T11:12:00,2022-03-17T17:02:00,"4843 Naaman Forest Blvd, Garland, Texas, 75040",Garland,DALLAS COUNTY,32.9592503062,-96.637719272
NV Mart,43792,61,5244.09,Retailer,2022-03-17T11:06:00,2022-03-17T16:22:00,"301 E McKinney St, Denton, Texas, 76201",Denton,DENTON COUNTY,33.2165282141,-97.129601453
NV Mart,78718,46,2531.46,Restaurant,2022-03-17T09:39:00,2022-03-17T16:12:00,"4001 Capitol Ave, Dallas, Texas, 75204",Dallas,DALLAS COUNTY,32.8069739662,-96.787438
NV Mart,83954,25,2772.82,Retailer,2022-03-17T10:08:00,2022-03-17T17:21:00,"501 Bellaire Dr, Hurst, Texas, 76053",Hurst,TARRANT COUNTY,32.8177584581,-97.1599399192
NV Mart,84190,66,3496.1,Restaurant,2022-03-17T09:32:00,2022-03-17T16:49:00,"1000 Wilson Dr, Plano, Texas, 75075",Plano,COLLIN COUNTY,33.0124089229,-96.7389065291
NV Mart,84887,40,10005.79,Restaurant,2022-03-17T11:43:00,2022-03-17T17:40:00,"425 Alice Dr, Grand Prairie, Texas, 75051",Grand Prairie,DALLAS COUNTY,32.7379422461,-97.0073596933
NV Mart,73884,36,6474.22,Business,2022-03-17T09:47:00,2022-03-17T16:12:00,"2500 Memorial Blvd, Mesquite, Texas, 75149",Mesquite,DALLAS COUNTY,32.7622625058,-96.6344860367
NV Mart,30620,41,5808.44,Restaurant,2022-03-17T09:05:00,2022-03-17T16:58:00,"7600 Woodstream Dr, Frisco, Texas, 75034",Frisco,COLLIN COUNTY,33.1414978593,-96.8143249661
NV Mart,43922,24,3096.19,Restaurant,2022-03-17T10:52:00,2022-03-17T16:57:00,"2911 Northaven Rd, Dallas, Texas, 75229",Dallas,DALLAS COUNTY,32.9039129396,-96.8793338336
NV Mart,28814,46,2684.77,Retailer,2022-03-17T11:18:00,2022-03-17T16:45:00,"2600 Lone Star Dr, Dallas, Texas, 75212",Dallas,DALLAS COUNTY,32.7694818007,-96.8667338389
NV Mart,98276,69,5206.07,Restaurant,2022-03-17T10:41:00,2022-03-17T16:18:00,"101 E Union Bower Rd, Irving, Texas, 75061",Irving,DALLAS COUNTY,32.8212455813,-96.9454177641
NV Mart,53594,23,5404.35,Retailer,2022-03-17T10:27:00,2022-03-17T17:24:00,"3111 Carson St, Haltom City, Texas, 76117",Haltom City,TARRANT COUNTY,32.8060548486,-97.2557637641
NV Mart,54288,23,7452.31,Retailer,2022-03-17T13:35:00,2022-03-17T16:37:00,"2620 E Avenue K, Grand Prairie, Texas, 75050",Grand Prairie,TARRANT COUNTY,32.7709054634,-97.0441595172
NV Mart,65736,47,5722.33,Business,2022-03-17T09:46:00,2022-03-17T16:44:00,"700 Bobcat Blvd, Krum, Texas, 76249",Krum,DENTON COUNTY,33.2640989932,-97.227642479
NV Mart,19838,46,8291.63,Restaurant,2022-03-17T10:14:00,2022-03-17T17:33:00,"3300 N Ave, Plano, Texas, 75074",Plano,COLLIN COUNTY,33.0388038294,-96.6951125938
NV Mart,86783,44,9051.4,Business,2022-03-17T09:31:00,2022-03-17T17:17:00,"600 Mabel Ave, Princeton, Texas, 75407",Princeton,COLLIN COUNTY,33.1785344858,-96.4916811694
NV Mart,58977,31,10542.31,Business,2022-03-17T11:33:00,2022-03-17T17:56:00,"10330 Bunchberry Dr, Dallas, Texas, 75243",Dallas,DALLAS COUNTY,32.9217516412,-96.7066644489
NV Mart,39334,32,7566.87,Retailer,2022-03-17T12:29:00,2022-03-17T17:13:00,"6401 W Pleasant Ridge Rd, Arlington, Texas, 76016",Arlington,TARRANT COUNTY,32.6813676267,-97.2092297846
NV Mart,78680,70,2382.86,Restaurant,2022-03-17T09:32:00,2022-03-17T16:43:00,"707 N Young Blvd, Desoto, Texas, 75115",Desoto,DALLAS COUNTY,32.6006778947,-96.865791025
NV Mart,61290,37,7883.3,Retailer,2022-03-17T09:24:00,2022-03-17T17:12:00,"7900 Tin Cup Dr, Arlington, Texas, 76001",Arlington,TARRANT COUNTY,32.6183203341,-97.1240882562
NV Mart,34540,37,7177.42,Business,2022-03-17T09:12:00,2022-03-17T17:59:00,"1515 S Ravinia Dr, Dallas, Texas, 75211",Dallas,DALLAS COUNTY,32.7279829945,-96.8688875515
NV Mart,64659,29,7577.75,Restaurant,2022-03-17T11:03:00,2022-03-17T16:09:00,"606 N Walnut St, Roanoke, Texas, 76262",Roanoke,DENTON COUNTY,33.0023193746,-97.2244698448
NV Mart,88036,41,8083.94,Business,2022-03-17T11:36:00,2022-03-17T17:43:00,"300 E Church St, Grand Prairie, Texas, 75050",Grand Prairie,DALLAS COUNTY,32.7469511157,-97.0008884449
NV Mart,96857,73,4089.01,Retailer,2022-03-17T13:07:00,2022-03-17T16:38:00,"3838 Spur 408, Dallas, Texas, 75236",Dallas,DALLAS COUNTY,32.6953169995,-96.9346809652
NV Mart,72326,70,7269.16,Business,2022-03-17T10:22:00,2022-03-17T16:11:00,"2702 Gilmer St, Caddo Mills, Texas, 75135",Caddo Mills,HUNT COUNTY,33.0754308603,-96.2299299595
NV Mart,44821,33,5105.64,Restaurant,2022-03-17T12:18:00,2022-03-17T16:13:00,"2491 Gertie Barrett Rd, Mansfield, Texas, 76063",Mansfield,TARRANT COUNTY,32.6013289171,-97.1756767748
NV Mart,88732,61,9622.97,Retailer,2022-03-17T10:12:00,2022-03-17T17:22:00,"630 Park Place Dr, Allen, Texas, 75002",Allen,COLLIN COUNTY,33.0931326016,-96.6565219763
NV Mart,76338,72,6553.03,Retailer,2022-03-17T09:42:00,2022-03-17T16:47:00,"1120 Newport Dr, Allen, Texas, 75013",Allen,COLLIN COUNTY,33.0941374661,-96.6933240633
